url,occid,has_image
https://cch2.org/portal/collections/individual/index.php?occid=6026918,6026918,No image
https://cch2.org/portal/collections/individual/index.php?occid=6026919,6026919,No image
https://cch2.org/portal/collections/individual/index.php?occid=6048990,6048990,No image
https://cch2.org/portal/collections/individual/index.php?occid=61217,61217,No image
https://cch2.org/portal/collections/individual/index.php?occid=631781,631781,No image
https://cch2.org/portal/collections/individual/index.php?occid=632033,632033,No image
https://cch2.org/portal/collections/individual/index.php?occid=645142,645142,Image present
https://cch2.org/portal/collections/individual/index.php?occid=648549,648549,Image present
https://cch2.org/portal/collections/individual/index.php?occid=652363,652363,Image present
https://cch2.org/portal/collections/individual/index.php?occid=667072,667072,Image present
https://cch2.org/portal/collections/individual/index.php?occid=668312,668312,Image present
https://cch2.org/portal/collections/individual/index.php?occid=6779828,6779828,No image
https://cch2.org/portal/collections/individual/index.php?occid=6795972,6795972,No image
https://cch2.org/portal/collections/individual/index.php?occid=682744,682744,Image present
https://cch2.org/portal/collections/individual/index.php?occid=684007,684007,Image present
https://cch2.org/portal/collections/individual/index.php?occid=6851620,6851620,No image
https://cch2.org/portal/collections/individual/index.php?occid=6856684,6856684,No image
https://cch2.org/portal/collections/individual/index.php?occid=6856685,6856685,No image
https://cch2.org/portal/collections/individual/index.php?occid=698690,698690,Image present
https://cch2.org/portal/collections/individual/index.php?occid=705793,705793,Image present
